model,fpr,tpr
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.012987012987012988
Logistic Regression,0.0,0.16883116883116883
Logistic Regression,0.008849557522123894,0.16883116883116883
Logistic Regression,0.008849557522123894,0.22077922077922077
Logistic Regression,0.017699115044247787,0.22077922077922077
Logistic Regression,0.017699115044247787,0.2597402597402597
Logistic Regression,0.035398230088495575,0.2597402597402597
Logistic Regression,0.035398230088495575,0.3246753246753247
Logistic Regression,0.04424778761061947,0.3246753246753247
Logistic Regression,0.04424778761061947,0.37662337662337664
Logistic Regression,0.05309734513274336,0.37662337662337664
Logistic Regression,0.05309734513274336,0.38961038961038963
Logistic Regression,0.061946902654867256,0.38961038961038963
Logistic Regression,0.061946902654867256,0.4025974025974026
Logistic Regression,0.07079646017699115,0.4025974025974026
Logistic Regression,0.07079646017699115,0.4155844155844156
Logistic Regression,0.07964601769911504,0.4155844155844156
Logistic Regression,0.07964601769911504,0.42857142857142855
Logistic Regression,0.08849557522123894,0.42857142857142855
Logistic Regression,0.08849557522123894,0.44155844155844154
Logistic Regression,0.12389380530973451,0.44155844155844154
Logistic Regression,0.12389380530973451,0.45454545454545453
Logistic Regression,0.13274336283185842,0.45454545454545453
Logistic Regression,0.13274336283185842,0.4675324675324675
Logistic Regression,0.1504424778761062,0.4675324675324675
Logistic Regression,0.1504424778761062,0.5064935064935064
Logistic Regression,0.18584070796460178,0.5064935064935064
Logistic Regression,0.18584070796460178,0.5324675324675324
Logistic Regression,0.21238938053097345,0.5324675324675324
Logistic Regression,0.23008849557522124,0.5324675324675324
Logistic Regression,0.2743362831858407,0.5324675324675324
Logistic Regression,0.2743362831858407,0.5454545454545454
Logistic Regression,0.2831858407079646,0.5454545454545454
Logistic Regression,0.2831858407079646,0.5844155844155844
Logistic Regression,0.30973451327433627,0.5844155844155844
Logistic Regression,0.30973451327433627,0.5974025974025974
Logistic Regression,0.35398230088495575,0.5974025974025974
Logistic Regression,0.35398230088495575,0.6103896103896104
Logistic Regression,0.36283185840707965,0.6103896103896104
Logistic Regression,0.36283185840707965,0.6363636363636364
Logistic Regression,0.3805309734513274,0.6363636363636364
Logistic Regression,0.3805309734513274,0.6493506493506493
Logistic Regression,0.3893805309734513,0.6493506493506493
Logistic Regression,0.3893805309734513,0.6623376623376623
Logistic Regression,0.39823008849557523,0.6623376623376623
Logistic Regression,0.39823008849557523,0.6883116883116883
Logistic Regression,0.415929203539823,0.6883116883116883
Logistic Regression,0.415929203539823,0.7272727272727273
Logistic Regression,0.4336283185840708,0.7272727272727273
Logistic Regression,0.4336283185840708,0.7662337662337663
Logistic Regression,0.46017699115044247,0.7662337662337663
Logistic Regression,0.46017699115044247,0.7792207792207793
Logistic Regression,0.4778761061946903,0.7792207792207793
Logistic Regression,0.4778761061946903,0.7922077922077922
Logistic Regression,0.49557522123893805,0.7922077922077922
Logistic Regression,0.49557522123893805,0.8051948051948052
Logistic Regression,0.5398230088495575,0.8051948051948052
Logistic Regression,0.5398230088495575,0.8181818181818182
Logistic Regression,0.5575221238938053,0.8181818181818182
Logistic Regression,0.5575221238938053,0.8311688311688312
Logistic Regression,0.6017699115044248,0.8311688311688312
Logistic Regression,0.6017699115044248,0.8441558441558441
Logistic Regression,0.6371681415929203,0.8441558441558441
Logistic Regression,0.6371681415929203,0.961038961038961
Logistic Regression,0.6460176991150443,0.961038961038961
Logistic Regression,0.6460176991150443,0.974025974025974
Logistic Regression,0.7079646017699115,0.974025974025974
Logistic Regression,0.7079646017699115,0.987012987012987
Logistic Regression,0.8672566371681416,0.987012987012987
Logistic Regression,0.8849557522123894,0.987012987012987
Logistic Regression,0.9557522123893806,0.987012987012987
Logistic Regression,0.9557522123893806,1.0
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.2831858407079646,0.5324675324675324
Decision Tree,0.2920353982300885,0.5454545454545454
Decision Tree,0.3008849557522124,0.5454545454545454
Decision Tree,0.3274336283185841,0.5454545454545454
Decision Tree,1.0,1.0
